report_id,project_id,report_date,prepared_by,weather,temperature_c,manpower_direct,manpower_subcon,equipment_on_site,work_description,issues,visitors,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
DSR-PRJ-001-20251203,PRJ-001,2025-12-03,EMP-0068,Sunny,36,173,267,17,Total available bag by building meeting.,,1,,2025-12-03T11:18:00,2025-12-03T11:18:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251204,PRJ-001,2025-12-04,EMP-0089,Clear,31,123,191,44,Back easy wide kitchen.,Heart audience call still similar.,5,,2025-12-04T17:25:00,2025-12-04T17:25:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251206,PRJ-001,2025-12-06,EMP-0048,Sunny,47,78,474,16,Write also animal bit free these federal.,Miss reality listen.,1,,2025-12-06T14:24:00,2025-12-06T14:24:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251207,PRJ-001,2025-12-07,EMP-0043,Clear,30,162,413,15,Great design effect kitchen happy thousand cut prove.,,6,,2025-12-07T08:22:00,2025-12-07T08:22:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251208,PRJ-001,2025-12-08,EMP-0034,Clear,44,181,436,33,Whole art compare hold.,,1,,2025-12-08T07:14:00,2025-12-08T07:14:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251209,PRJ-001,2025-12-09,EMP-0068,Sunny,34,193,162,13,Interesting week season person yourself structure.,,3,,2025-12-09T11:40:00,2025-12-09T11:40:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251210,PRJ-001,2025-12-10,EMP-0040,Sunny,43,98,156,50,Bag role argue moment chance design.,,2,,2025-12-10T09:05:00,2025-12-10T09:05:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251211,PRJ-001,2025-12-11,EMP-0047,Humid,43,178,149,15,Much factor little tax whether available daughter.,,7,,2025-12-11T16:48:00,2025-12-11T16:48:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251213,PRJ-001,2025-12-13,EMP-0017,Sunny,37,263,445,38,Never really three reflect.,,8,,2025-12-13T17:38:00,2025-12-13T17:38:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251214,PRJ-001,2025-12-14,EMP-0040,Sunny,39,205,174,44,President almost whole politics close yeah.,,3,,2025-12-14T16:57:00,2025-12-14T16:57:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251215,PRJ-001,2025-12-15,EMP-0043,Rain,29,116,367,14,Else religious if.,,10,,2025-12-15T09:39:00,2025-12-15T09:39:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251216,PRJ-001,2025-12-16,EMP-0055,Clear,31,67,147,30,Better chance short travel by seven save.,Form who support only.,2,,2025-12-16T12:03:00,2025-12-16T12:03:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251217,PRJ-001,2025-12-17,EMP-0065,Hot,31,121,440,21,Concern type special reduce receive.,,1,,2025-12-17T09:06:00,2025-12-17T09:06:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251218,PRJ-001,2025-12-18,EMP-0089,Rain,48,96,375,43,Would pick table white next she.,Bar important never maintain short.,2,,2025-12-18T16:06:00,2025-12-18T16:06:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251220,PRJ-001,2025-12-20,EMP-0033,Humid,34,275,339,12,Score whose space guy industry.,,5,,2025-12-20T11:58:00,2025-12-20T11:58:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251221,PRJ-001,2025-12-21,EMP-0031,Sunny,30,73,178,30,On finish particular shoulder movement suggest.,,5,,2025-12-21T17:51:00,2025-12-21T17:51:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251222,PRJ-001,2025-12-22,EMP-0036,Sunny,29,283,456,27,Quickly whom story economy.,,3,,2025-12-22T16:11:00,2025-12-22T16:11:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251223,PRJ-001,2025-12-23,EMP-0027,Clear,39,181,433,17,Weight new late much Mr person material.,Manage against no down coach young conference.,5,,2025-12-23T07:53:00,2025-12-23T07:53:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251224,PRJ-001,2025-12-24,EMP-0066,Rain,47,219,405,27,Building whatever according brother.,Upon cultural rather moment then leader.,0,,2025-12-24T15:44:00,2025-12-24T15:44:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251225,PRJ-001,2025-12-25,EMP-0097,Clear,37,210,336,20,Not by television former.,,3,,2025-12-25T13:37:00,2025-12-25T13:37:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251227,PRJ-001,2025-12-27,EMP-0031,Humid,28,238,122,39,Keep outside method amount.,,5,,2025-12-27T08:20:00,2025-12-27T08:20:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251228,PRJ-001,2025-12-28,EMP-0029,Hot,45,104,285,37,Body year receive different agency.,,9,,2025-12-28T11:04:00,2025-12-28T11:04:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251229,PRJ-001,2025-12-29,EMP-0041,Hot,46,51,415,29,Actually look total store official while.,,7,,2025-12-29T11:23:00,2025-12-29T11:23:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251230,PRJ-001,2025-12-30,EMP-0038,Windy,31,253,350,45,Also data yard voice responsibility since health.,Professor when its Democrat security build.,1,,2025-12-30T15:31:00,2025-12-30T15:31:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20251231,PRJ-001,2025-12-31,EMP-0018,Humid,27,108,104,10,Purpose Republican wall pay smile.,,4,,2025-12-31T07:37:00,2025-12-31T07:37:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260101,PRJ-001,2026-01-01,EMP-0046,Clear,30,274,430,47,Concern dinner feel man.,Along small any air she join guess.,2,,2026-01-01T13:51:00,2026-01-01T13:51:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260103,PRJ-001,2026-01-03,EMP-0024,Sunny,37,78,378,17,Probably decision mouth force military professor.,,9,,2026-01-03T14:28:00,2026-01-03T14:28:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260104,PRJ-001,2026-01-04,EMP-0046,Hot,29,101,339,43,Along piece those summer.,Man day move control answer everyone action guess.,5,,2026-01-04T07:28:00,2026-01-04T07:28:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260105,PRJ-001,2026-01-05,EMP-0067,Clear,45,212,257,39,Camera important how around indeed.,,2,,2026-01-05T10:48:00,2026-01-05T10:48:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260106,PRJ-001,2026-01-06,EMP-0010,Sunny,31,227,455,30,See kind can usually local oil.,,0,,2026-01-06T08:11:00,2026-01-06T08:11:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260107,PRJ-001,2026-01-07,EMP-0030,Sunny,43,51,125,16,Wear financial professional Mr.,Wind stay time behavior range.,2,,2026-01-07T11:39:00,2026-01-07T11:39:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260108,PRJ-001,2026-01-08,EMP-0031,Hot,28,211,281,42,Account out set produce senior person.,Daughter thought manager commercial hospital.,2,,2026-01-08T09:05:00,2026-01-08T09:05:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260110,PRJ-001,2026-01-10,EMP-0025,Clear,36,69,152,12,Other measure give unit.,,0,,2026-01-10T16:34:00,2026-01-10T16:34:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260111,PRJ-001,2026-01-11,EMP-0067,Humid,26,149,308,33,Discussion share south rate to really.,,3,,2026-01-11T12:25:00,2026-01-11T12:25:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260112,PRJ-001,2026-01-12,EMP-0018,Hot,26,56,380,16,Stay few my space.,,5,,2026-01-12T09:57:00,2026-01-12T09:57:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260113,PRJ-001,2026-01-13,EMP-0082,Rain,37,52,306,44,Try cause force identify old network mention.,,1,,2026-01-13T14:47:00,2026-01-13T14:47:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260114,PRJ-001,2026-01-14,EMP-0037,Hot,40,235,108,40,Owner live get serve movie.,,10,,2026-01-14T12:11:00,2026-01-14T12:11:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260115,PRJ-001,2026-01-15,EMP-0023,Hot,44,288,416,26,Join beat college recent nature rate.,,10,,2026-01-15T15:37:00,2026-01-15T15:37:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260117,PRJ-001,2026-01-17,EMP-0048,Windy,32,195,161,34,Use wear happen force.,,7,,2026-01-17T13:36:00,2026-01-17T13:36:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260118,PRJ-001,2026-01-18,EMP-0036,Clear,47,157,266,45,Statement exactly data get debate these scientist college.,,1,,2026-01-18T12:08:00,2026-01-18T12:08:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260119,PRJ-001,2026-01-19,EMP-0072,Humid,26,243,313,25,Improve buy truth bag win.,Get response save seat example commercial.,5,,2026-01-19T11:07:00,2026-01-19T11:07:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260120,PRJ-001,2026-01-20,EMP-0081,Windy,39,184,422,31,Small bit certainly claim reality.,,4,,2026-01-20T11:20:00,2026-01-20T11:20:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260121,PRJ-001,2026-01-21,EMP-0043,Sandstorm,36,215,396,42,Meet safe owner defense.,Boy glass follow everyone reality imagine.,10,,2026-01-21T08:35:00,2026-01-21T08:35:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260122,PRJ-001,2026-01-22,EMP-0081,Windy,32,265,169,50,Difficult identify business.,,3,,2026-01-22T10:20:00,2026-01-22T10:20:00,system@alrashdeng.ae,1,True,
DSR-PRJ-001-20260124,PRJ-001,2026-01-24,EMP-0010,Rain,45,300,280,15,Cover role heavy which ask view sell.,Run fund wide low who organization ok common.,2,,2026-01-24T14:16:00,2026-01-24T14:16:00,system@alrashdeng.ae,1,True,
