inspection_id,project_id,inspection_type,inspection_date,inspector_id,location,result,defects_found,corrective_action,reinspection_date,remarks,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
INS-1D06149E,PRJ-001,Rebar Placement,2024-08-29,EMP-0081,"Level 13, Zone D",Passed,0,,,,,2024-08-29T15:30:00,2024-08-29T15:30:00,system@alrashdeng.ae,1,True,
INS-06531D47,PRJ-001,Structural,2024-10-21,EMP-0093,"Level 9, Zone B",Passed,0,,,,,2024-10-21T11:20:00,2024-10-21T11:20:00,system@alrashdeng.ae,1,True,
INS-83A9C235,PRJ-001,Waterproofing,2025-12-21,EMP-0091,"Level 50, Zone A",Conditional,3,Knowledge analysis together court message way cold.,,,,2025-12-21T09:35:00,2025-12-21T09:35:00,system@alrashdeng.ae,1,True,
INS-A07EAFB1,PRJ-001,Final Handover,2026-01-26,EMP-0078,"Level 29, Zone C",Passed,0,,,,,2026-01-26T13:03:00,2026-01-26T13:03:00,system@alrashdeng.ae,1,True,
INS-3692A531,PRJ-001,MEP Rough-In,2024-02-05,EMP-0087,"Level 18, Zone B",Passed,0,,,,,2024-02-05T09:05:00,2024-02-05T09:05:00,system@alrashdeng.ae,1,True,
INS-34A0DCD4,PRJ-001,Structural,2025-11-13,EMP-0078,"Level 9, Zone C",Conditional,1,Stock these scientist itself stage authority rather.,,,,2025-11-13T16:17:00,2025-11-13T16:17:00,system@alrashdeng.ae,1,True,
INS-1667C518,PRJ-001,Formwork,2024-01-02,EMP-0078,"Level 37, Zone C",Passed,0,,,,,2024-01-02T14:51:00,2024-01-02T14:51:00,system@alrashdeng.ae,1,True,
INS-8EDE9B46,PRJ-001,Formwork,2024-02-11,EMP-0090,"Level 39, Zone A",Passed,0,,,,,2024-02-11T09:26:00,2024-02-11T09:26:00,system@alrashdeng.ae,1,True,
INS-4236C0BF,PRJ-001,Fire Safety,2024-02-09,EMP-0088,"Level 6, Zone B",Conditional,1,Hold picture item admit pull movement.,,,,2024-02-09T08:41:00,2024-02-09T08:41:00,system@alrashdeng.ae,1,True,
INS-BEF6A59A,PRJ-001,Waterproofing,2025-05-16,EMP-0095,"Level 1, Zone B",Passed,0,,,,,2025-05-16T12:52:00,2025-05-16T12:52:00,system@alrashdeng.ae,1,True,
INS-5B923C67,PRJ-001,Fire Safety,2025-04-01,EMP-0096,"Level 34, Zone C",Conditional,0,Blood skin feeling beat she join house.,,,,2025-04-01T09:06:00,2025-04-01T09:06:00,system@alrashdeng.ae,1,True,
INS-38491ECC,PRJ-001,Rebar Placement,2025-06-01,EMP-0088,"Level 34, Zone A",Passed,0,,,,,2025-06-01T13:34:00,2025-06-01T13:34:00,system@alrashdeng.ae,1,True,
INS-D976B2BA,PRJ-001,Waterproofing,2024-04-02,EMP-0097,"Level 34, Zone D",Passed,0,,,,,2024-04-02T15:27:00,2024-04-02T15:27:00,system@alrashdeng.ae,1,True,
INS-4C4D6E40,PRJ-001,Structural,2025-02-28,EMP-0082,"Level 13, Zone D",Failed,3,Whatever action themselves center among of.,2025-03-03,Mr water fight security tough gas.,,2025-02-28T15:33:00,2025-02-28T15:33:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-2477F047,PRJ-001,Waterproofing,2024-11-12,EMP-0092,"Level 16, Zone A",Passed,0,,,,,2024-11-12T10:28:00,2024-11-12T10:28:00,system@alrashdeng.ae,1,True,
INS-40B3AF7C,PRJ-001,Rebar Placement,2024-04-22,EMP-0096,"Level 7, Zone A",Conditional,3,Boy provide note approach seem.,,,,2024-04-22T16:08:00,2024-04-22T16:08:00,system@alrashdeng.ae,1,True,
INS-8CB6D1F0,PRJ-001,Structural,2026-02-22,EMP-0087,"Level 2, Zone A",Passed,0,,,,,2026-02-22T15:59:00,2026-02-22T15:59:00,system@alrashdeng.ae,1,True,
INS-1923CAFC,PRJ-001,Structural,2024-02-11,EMP-0097,"Level 46, Zone B",Passed,0,,,Rise maintain former campaign pretty.,,2024-02-11T12:14:00,2024-02-11T12:14:00,system@alrashdeng.ae,1,True,
INS-31891F48,PRJ-001,Waterproofing,2024-03-04,EMP-0094,"Level 27, Zone C",Passed,0,,,,,2024-03-04T07:32:00,2024-03-04T07:32:00,system@alrashdeng.ae,1,True,
INS-A8CFE589,PRJ-001,Rebar Placement,2024-08-27,EMP-0085,"Level 36, Zone D",Passed,0,,,,,2024-08-27T13:11:00,2024-08-27T13:11:00,system@alrashdeng.ae,1,True,
