document_id,project_id,document_type,document_number,title,revision,created_date,created_by_emp,status,discipline,file_path,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
DOC-33F1634C,PRJ-001,Site Instruction,SIT-001-922,Order most school TV,R0,2024-02-12,EMP-0122,Approved,MEP,//server/projects/PRJ-001/Site Instruction/oWqtpK.pdf,—,2024-02-12T08:19:00,2024-02-12T08:19:00,system@alrashdeng.ae,1,True,—
DOC-36522D51,PRJ-001,Shop Drawing,SHO-001-510,Material do per visit figure,R0,2024-03-17,EMP-0117,Superseded,MEP,//server/projects/PRJ-001/Shop Drawing/EwlTBU.pdf,—,2024-03-17T17:12:00,2024-03-17T17:12:00,system@alrashdeng.ae,1,True,—
DOC-DD0BCE0D,PRJ-001,As-Built Drawing,AS--001-552,Crime decision tonight prove lot person identify,R2,2024-04-20,EMP-0129,Approved,Architectural,//server/projects/PRJ-001/As-Built Drawing/jathuv.pdf,—,2024-04-20T15:38:00,2024-04-20T15:38:00,system@alrashdeng.ae,1,True,—
DOC-1CB17535,PRJ-001,Variation Order,VAR-001-198,Task recent step fast seem different,R3,2025-05-17,EMP-0124,For Review,HSE,//server/projects/PRJ-001/Variation Order/leVjIp.pdf,—,2025-05-17T13:26:00,2025-05-17T13:26:00,system@alrashdeng.ae,1,True,—
DOC-FE05BD80,PRJ-001,Test Report,TES-001-756,Whose relationship worry,R2,2025-05-27,EMP-0117,Draft,HSE,//server/projects/PRJ-001/Test Report/dPzZLj.pdf,—,2025-05-27T15:24:00,2025-05-27T15:24:00,system@alrashdeng.ae,1,True,—
DOC-ECDD3B40,PRJ-001,Variation Order,VAR-001-649,Race particular or plan,R0,2025-04-01,EMP-0117,Draft,Civil,//server/projects/PRJ-001/Variation Order/ReHMXY.pdf,—,2025-04-01T10:12:00,2025-04-01T10:12:00,system@alrashdeng.ae,1,True,—
DOC-111FED46,PRJ-001,Shop Drawing,SHO-001-295,Sign head course soon,R0,2024-01-17,EMP-0130,Draft,Structural,//server/projects/PRJ-001/Shop Drawing/jLUdSq.pdf,—,2024-01-17T12:30:00,2024-01-17T12:30:00,system@alrashdeng.ae,1,True,—
DOC-C6734A9C,PRJ-001,NCR,NCR-001-189,Risk actually realize war billion,R0,2024-12-23,EMP-0129,Draft,HSE,//server/projects/PRJ-001/NCR/WGwemk.pdf,—,2024-12-23T17:13:00,2024-12-23T17:13:00,system@alrashdeng.ae,1,True,—
DOC-5CE43665,PRJ-001,Inspection Request,INS-001-152,System detail idea mention,R0,2024-10-03,EMP-0126,Approved,Civil,//server/projects/PRJ-001/Inspection Request/xxVbWl.pdf,—,2024-10-03T12:51:00,2024-10-03T12:51:00,system@alrashdeng.ae,1,True,—
DOC-088022B6,PRJ-001,Site Instruction,SIT-001-273,Bill star each station,R1,2025-10-11,EMP-0130,Approved,HSE,//server/projects/PRJ-001/Site Instruction/qcJBXY.pdf,—,2025-10-11T12:06:00,2025-10-11T12:06:00,system@alrashdeng.ae,1,True,—
DOC-4BBAA3F5,PRJ-001,Inspection Request,INS-001-600,But want trade institution organization,R0,2024-01-22,EMP-0123,Superseded,HSE,//server/projects/PRJ-001/Inspection Request/EJTrtR.pdf,—,2024-01-22T16:22:00,2024-01-22T16:22:00,system@alrashdeng.ae,1,True,—
DOC-D8E3DB17,PRJ-001,RFI,RFI-001-560,Along simple guy,R1,2026-02-28,EMP-0130,Draft,HSE,//server/projects/PRJ-001/RFI/KrsxkI.pdf,—,2026-02-28T11:05:00,2026-02-28T11:05:00,system@alrashdeng.ae,1,True,—
DOC-A39918F0,PRJ-001,NCR,NCR-001-631,Especially military product,R1,2025-09-28,EMP-0123,Draft,HSE,//server/projects/PRJ-001/NCR/VntYgx.pdf,—,2025-09-28T12:53:00,2025-09-28T12:53:00,system@alrashdeng.ae,1,True,—
