po_id,project_id,po_type,vendor_id,description,issue_date,delivery_date,amount_aed,status,approved_by,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
LPO-PRJ-001-0001,PRJ-001,Subcontract,CON-036,Tv together partner.,2025-04-25,2025-06-24,302249,Issued,Michael Rocha,,2025-04-25T12:22:00,2025-04-25T12:22:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0002,PRJ-001,Subcontract,CON-079,Serious join nothing all church society participant.,2024-11-16,2025-01-25,294213,Invoiced,Matthew Richard,,2024-11-16T10:42:00,2024-11-16T10:42:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0003,PRJ-001,Material,SUP-061,Either resource but.,2025-04-11,2025-06-18,422691,Issued,Roberto Larson,,2025-04-11T07:19:00,2025-04-11T07:19:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0004,PRJ-001,Subcontract,CON-073,Point support run training general left.,2025-11-13,2026-01-22,453867,Draft,Danielle Ochoa,,2025-11-13T15:32:00,2025-11-13T15:32:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0005,PRJ-001,Material,SUP-035,General effort letter second.,2025-05-09,2025-06-03,248991,Draft,Ryan Boyd,,2025-05-09T13:46:00,2025-05-09T13:46:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0006,PRJ-001,Material,SUP-041,Certainly situation community life help.,2025-10-31,2025-12-30,152775,Delivered,Dawn Gross,,2025-10-31T12:46:00,2025-10-31T12:46:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0007,PRJ-001,Subcontract,CON-077,Matter figure order sometimes.,2025-05-08,2025-06-04,278129,Delivered,Miss Grace Hill,,2025-05-08T07:55:00,2025-05-08T07:55:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0008,PRJ-001,Subcontract,CON-035,Result choice beyond.,2024-01-30,2024-04-08,231803,Invoiced,James Nguyen,,2024-01-30T13:19:00,2024-01-30T13:19:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0009,PRJ-001,Material,SUP-035,Family tonight cut wrong common without carry.,2025-11-02,2025-12-18,5232,Delivered,Richard Cook,,2025-11-02T13:33:00,2025-11-02T13:33:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0010,PRJ-001,Material,SUP-076,Hold method class car seven out.,2024-06-29,2024-08-13,83377,Delivered,Jennifer Diaz,,2024-06-29T10:10:00,2024-06-29T10:10:00,system@alrashdeng.ae,1,True,
