incident_id,project_id,incident_date,incident_type,severity,description,location,injured_persons,lti_days,root_cause,corrective_action,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
INC-BBE5C3D7,PRJ-001,2025-04-17,Property Damage,Medium,Edge make market.,"Level 14, North Wing",0,0,Unsafe Act,Cell end information reduce.,Closed,—,2025-04-17T15:00:00,2025-04-17T15:00:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-DE4DD5DF,PRJ-001,2025-10-27,First Aid,Medium,Year cup what.,"Level 28, East Wing",1,0,Lack of Training,Describe stay born middle.,Closed,—,2025-10-27T08:54:00,2025-10-27T08:54:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-86BD6F22,PRJ-001,2024-12-05,Environmental Spill,Low,President now discover war film kitchen radio see.,"Level 43, South Wing",0,0,Lack of Training,West build total kid.,Closed,—,2024-12-05T14:04:00,2024-12-05T14:04:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-C1E6478A,PRJ-001,2024-08-26,First Aid,Low,Through design because paper west draw write.,"Level 29, East Wing",1,0,Unsafe Condition,You mean class.,Closed,—,2024-08-26T14:57:00,2024-08-26T14:57:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-C4502A4C,PRJ-001,2024-06-25,Near Miss,Low,Sit ok else store ago sport.,"Level 46, South Wing",0,0,Lack of Training,Believe song during individual natural head begin.,Open,—,2024-06-25T17:24:00,2024-06-25T17:24:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-80346AEC,PRJ-001,2024-01-13,Near Miss,Low,Fight relationship agency beautiful.,"Level 49, West Wing",0,0,Lack of Training,Care energy institution.,Closed,—,2024-01-13T07:23:00,2024-01-13T07:23:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-7213D4A3,PRJ-001,2024-11-21,Near Miss,Low,Court service example paper long trip action professor.,"Level 2, South Wing",0,0,Equipment Failure,Evidence popular professor.,Closed,—,2024-11-21T10:43:00,2024-11-21T10:43:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-4E31031D,PRJ-001,2024-07-08,First Aid,Low,Bit in at and.,"Level 18, East Wing",1,0,Equipment Failure,Family house assume.,Closed,—,2024-07-08T08:39:00,2024-07-08T08:39:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-3C027C08,PRJ-001,2025-05-06,Environmental Spill,Low,Hand whether lay field another line.,"Level 45, East Wing",0,0,Unsafe Act,Range campaign discussion whether.,Open,—,2025-05-06T07:13:00,2025-05-06T07:13:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-76D946E6,PRJ-001,2024-11-20,First Aid,Medium,Prevent major some baby.,"Level 33, North Wing",1,0,Equipment Failure,Song outside serve wait never resource town.,Open,—,2024-11-20T10:09:00,2024-11-20T10:09:00,system@alrashdeng.ae,1,True,High Incident Rate
